Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Corcoran Park Slope,Condo for sale,699000,2,2,1766,124-11 Rockaway Beach Blvd # 1C,"Queens, NY 11694",New York,Queens County,Queens,40.5771307,-73.8443159
Brokered by Keystone Realty USA Corp,Condo for sale,410000,2,2,2184,151-35 84th St Unit 3M,"Howard Beach, NY 11414",New York,Queens County,Queens,40.6668174,-73.8499468
Brokered by Nareema Baksh Real Estate,Condo for sale,435000,3,2,1034,2877 Ely Ave,"Bronx, NY 10469",United States,New York,Bronx County,40.8690609,-73.835715
Brokered by Tscherne Realty Inc,Condo for sale,578000,2,2,900,57-15 69th Ln Unit 1,"Maspeth, NY 11378",New York,Queens County,Queens,40.7265287,-73.8933039
Brokered by COMPASS,Condo for sale,8995000,5,4,4373,135 W 52nd St Ph 5,"Manhattan, NY 10019",New York,New York County,New York,40.7620381,-73.9808958
Brokered by eXp Realty BKNY,Condo for sale,629000,3,2,1360,269 Bay 8th St Apt 2R,"Brooklyn, NY 11228",New York,Kings County,Brooklyn,40.6063017,-74.0157592
Brokered by Reony.Com Ltd,Condo for sale,329900,2,2,993,149-30 88 St Unit 4D,"Howard Beach, NY 11414",New York,Queens County,Queens,40.6689793,-73.8476549
Brokered by BRAI - Braithwaite Realty LLC,Condo for sale,2150000,3,1,750,163 E 71st St Unit 1,"New York, NY 10021",New York,New York County,New York,40.7696597,-73.962084
Brokered by Corcoran Park Avenue South,Condo for sale,595000,1,1,750,189 Avenue C Apt 9D,"New York, NY 10009",New York,New York County,New York,40.726984,-73.9769367
Brokered by Re/Max In The City,Condo for sale,374900,1,1,782,2287 Johnson Ave Apt 12B,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8778771,-73.9188767
Brokered by Ilite Realty Inc,Condo for sale,649000,3,2,1400,1220 Avenue Y Unit Oa,"Brooklyn, NY 11235",United States,New York,Kings County,40.5895025,-73.9579253
Brokered by Harbor Properties International LLC,Condo for sale,3895000,3,3,1884,70 Little West St Apt 26B,"New York, NY 10004",New York,New York County,New York,40.7069489,-74.0169068
Brokered by J. Sikar Realty,Condo for sale,615000,3,2,1165,501 Surf Ave Apt 18F,"Brooklyn, NY 11224",Kings County,Brooklyn,Coney Island,40.5755355,-73.9735905
