Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Bright Horizons Realty Inc,House for sale,1199000,4,2,2184,4193 Ocean Ave,"Brooklyn, NY 11235",United States,New York,Kings County,40.5783044,-73.9471644
Brokered by Bright Horizons Realty Inc,House for sale,2150000,4,2,2184,153 Jaffrey St,"Brooklyn, NY 11235",United States,New York,Kings County,40.5790771,-73.9425262
Brokered by Keller Williams Realty Greater Nassau,House for sale,899000,3,4,2208,82 Mulberry Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.5955552,-74.1677939
Brokered by qvtopservice,House for sale,675000,3,2,2184,102-26 213th St,"Queens Village, NY 11429",United States,New York,Queens County,40.7121557,-73.7452804
Brokered by Corcoran Westside Columbus,House for sale,899000,2,1,1130,529 W 42nd St Apt 6L,"New York, NY 10036",New York,New York County,New York,40.7604194,-73.9968086
Brokered by Jerry Fink Real Estate Inc,House for sale,550000,3,2,2184,156-23 88th St,"Howard Beach, NY 11414",United States,New York,Queens County,40.6628113,-73.8453503
Brokered by RE MAX Elite,House for sale,674999,3,2,1440,107 Salamander Ct,"Staten Island, NY 10309",United States,New York,Richmond County,40.5394128,-74.2228391
Brokered by Voro Llc,House for sale,1228000,3,2,950,154-69 26th Ave,"Flushing, NY 11354",United States,New York,Queens County,40.7739766,-73.8070988
Brokered by Keller Williams Rlty Landmark,House for sale,2998888,5,2,3800,28-05 216th St,"Bayside, NY 11360",United States,New York,Queens County,40.7782443,-73.7706926
Brokered by Trusted Property Advisors Corp,House for sale,1474000,4,2,2050,71-28 Manse St,"Forest Hills, NY 11375",United States,New York,Queens County,40.7114417,-73.8490778
